season,gsis_id,prop_mvp,prop_pass_yds,prop_pass_td,prop_rush_yds,prop_rush_td,prop_rec_yds,prop_rec_td,prop_oroy,prop_comeback,prop_n_markets,has_prop,prop_market_seasons
2012,00-0027944,0.0,0.0,0.0,0.0,0.0,0.036539867847350464,0.0,0.0,0.0,1,true,5
2012,00-0027973,0.015128560624726886,0.010505369720013176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2012,00-0028009,0.0,0.0,0.0,0.02939102908457337,0.0,0.0,0.0,0.0,0.0,1,true,5
2012,00-0028995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02055676750716537,0.0,1,true,5
2012,00-0029137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04625272689112209,0.0,1,true,5
2012,00-0029209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018049844640437886,0.0,1,true,5
2012,00-0029251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02846321654838282,0.0,1,true,5
2012,00-0029260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238723751696114,0.0,1,true,5
2012,00-0029262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238723751696114,0.0,1,true,5
2012,00-0029263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0870639565009357,0.0,1,true,5
2012,00-0029613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05692643309676564,0.0,1,true,5
2012,00-0029638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03524017286942635,0.0,1,true,5
2012,00-0029654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018049844640437886,0.0,1,true,5
2012,00-0029665,0.00614129688726537,0.010505369720013176,0.0,0.0,0.0,0.0,0.0,0.14800872605159068,0.0,3,true,5
2012,00-0029668,0.00614129688726537,0.010505369720013176,0.0,0.0,0.0,0.0,0.0,0.22770573238706257,0.0,3,true,5
2012,00-0029675,0.0,0.0,0.0,0.03638889315232893,0.0,0.0,0.0,0.09250545378224417,0.0,2,true,5
2012,00-0029677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389496647504186,0.0,1,true,5
2012,00-0029697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018049844640437886,0.0,1,true,5
2012,00-0029701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389496647504186,0.0,1,true,5
2012,00-0029707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05692643309676564,0.0,1,true,5
2012,00-0029708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02055676750716537,0.0,1,true,5
2013,00-0010346,0.09540082376597106,0.10683973275197951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0019596,0.07029534382755762,0.06944582628878668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0020245,0.01964134606946463,0.010365048699818908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0020337,0.0,0.0,0.0,0.0,0.0,0.016158291779895213,0.0,0.0,0.0,1,true,5
2013,00-0020498,0.0,0.0,0.0,0.0,0.0,0.02548038319137322,0.0,0.0,0.0,1,true,5
2013,00-0020531,0.06070961512379977,0.15432405841952596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0021429,0.0,0.02042524302611373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2013,00-0021678,0.023027785046958533,0.04629721752585778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0022044,0.009967250244205932,0.0,0.0,0.0,0.0,0.060226360270518524,0.0,0.0,0.0,2,true,5
2013,00-0022084,0.0,0.0,0.0,0.0,0.0,0.016158291779895213,0.0,0.0,0.0,1,true,5
2013,00-0022427,0.01964134606946463,0.0,0.0,0.0,0.0,0.03896999782210022,0.0,0.0,0.0,2,true,5
2013,00-0022736,0.01309423071297642,0.0,0.0,0.02697673112295999,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0022787,0.01628794552101945,0.02042524302611373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0022803,0.023027785046958533,0.04085048605222746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0022921,0.008244515634096264,0.0,0.0,0.0,0.0,0.03486789278819493,0.0,0.0,0.0,2,true,5
2013,00-0022924,0.01964134606946463,0.01693800641189919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0022942,0.0,0.02042524302611373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,true,5
2013,00-0023436,0.008244515634096264,0.010365048699818908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0023459,0.07420064070686637,0.07716202920976298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0023462,0.0,0.0,0.0,0.0,0.0,0.03896999782210022,0.0,0.0,0.0,1,true,5
2013,00-0023496,0.0,0.0,0.0,0.0,0.0,0.03896999782210022,0.0,0.0,0.0,1,true,5
2013,00-0023500,0.009967250244205932,0.0,0.0,0.02697673112295999,0.0,0.0,0.0,0.0,0.0,2,true,5
2013,00-0023921,0.0,0.0,0.0,0.0,0.0,0.009887909895159757,0.0,0.0,0.0,1,true,5
2013,00-0024217,0.0,0.0,0.0,0.017107195346267312,0.0,0.0,0.0,0.0,0.0,1,true,5
2013,00-0024226,0.009967250244205932,0.02042524302611373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,true,5
